"lon","lat","date","track_name","type"
"188",-119.603131073024,32.6719705277391,2008-01-22,"crw_sim_2007CA-Bmu-10836","pseudos"
"189",-124.164853468072,37.7025556963757,2004-08-15,"crw_sim_2004CA-Bmu-10833","pseudos"
"190",-134.579498565339,32.407882643379,2008-11-22,"crw_sim_2008CA-Bmu-04176","pseudos"
"191",-119.515464260326,33.6785563708604,2017-08-15,"crw_sim_2017CA-Bmu-00831","pseudos"
"192",-119.037138115222,25.6948448172177,2008-04-12,"crw_sim_2007CA-Bmu-04174","pseudos"
"193",-130.321238655745,32.4000350119466,2008-04-27,"crw_sim_2007CA-Bmu-04174","pseudos"
"194",-115.262356316027,26.6572744131874,2014-08-23,"crw_sim_2014CA-Bmu-00847","pseudos"
"195",-119.735625288197,33.4219936036708,2017-08-03,"crw_sim_2017CA-Bmu-10830","pseudos"
"196",-118.980195205152,32.5330969136046,1999-09-07,"crw_sim_1999CA-Bmu-00834","pseudos"
"197",-115.68985619644,26.7198517650421,2014-10-13,"crw_sim_2014CA-Bmu-10834","pseudos"
"198",-118.690750238143,25.501308145376,2006-02-04,"crw_sim_2005CA-Bmu-01390","pseudos"
"199",-145.662654841226,42.6878524271283,2000-12-03,"crw_sim_2000CA-Bmu-23029","pseudos"
"200",-115.382193409385,26.7116819561885,2000-05-13,"crw_sim_1999CA-Bmu-00838","pseudos"
"201",-138.177930268598,25.3731820532873,2000-11-17,"crw_sim_2000CA-Bmu-23029","pseudos"
"202",-114.914767308655,15.3392583112062,1999-12-03,"crw_sim_1999CA-Bmu-04172","pseudos"
"203",-116.231462315935,29.5915169462288,1999-03-18,"crw_sim_1998CA-Bmu-00824","pseudos"
"204",-116.982158384211,28.4489413227281,2007-12-26,"crw_sim_2007CA-Bmu-00847","pseudos"
"205",-118.882278784805,32.7573558847107,2015-07-26,"crw_sim_2015CA-Bmu-05678","pseudos"
"206",-122.144616174983,22.0477246931657,1999-10-18,"crw_sim_1999CA-Bmu-23043","pseudos"
"207",-123.541538646294,32.2514733319913,2006-12-06,"crw_sim_2006CA-Bmu-23039","pseudos"
"208",-111.856466863226,24.0066966786806,2008-03-14,"crw_sim_2007CA-Bmu-01385","pseudos"
"209",-119.118239728463,31.6654123961152,2016-11-03,"crw_sim_2016CA-Bmu-05685","pseudos"
"210",-128.731386728148,40.8669074346966,2015-11-27,"crw_sim_2015CA-Bmu-05678","pseudos"
"211",-120.274556397294,34.4559402291077,2016-07-27,"crw_sim_2016CA-Bmu-23032","pseudos"
"212",-130.859995255755,35.7896510944925,2015-10-05,"crw_sim_2015CA-Bmu-00825","pseudos"
"213",-120.389846205028,34.1989845960143,2017-08-06,"crw_sim_2017CA-Bmu-00835","pseudos"
"214",-122.343917684407,34.5757034045606,2017-04-06,"crw_sim_2016CA-Bmu-10825","pseudos"
"215",-119.546877763443,33.4965363867637,1998-08-31,"crw_sim_1998CA-Bmu-04174","pseudos"
"216",-120.853264326513,35.2048775274665,1995-10-13,"crw_sim_1995CA-Bmu-00841","pseudos"
"217",-125.063109260557,32.3233933992284,2008-11-01,"crw_sim_1993CA-Bmu-00830","pseudos"
